Athlétisme	Athletics
Combat	Fighting
Conduite	Driving
Culture générale	Common Knowledge
Discrétion	Stealth
Électronique	Electronics
Équitation	Riding
Focus	Focus
Foi	Faith
Informatique	Hacking
Intimidation	Intimidation
Jeu	Gambling
Langue	Language
Magie	Spellcasting
Navigation	Boating
Occultisme	Occult
Perception	Notice
Performance	Performance
Persuasion	Persuasion
Pilotage	Piloting
Pistage	Tracking
Provocation	Taunt
Psionique	Psionics
Recherche	Research
Réparation	Repair
Sciences	Science
Soins	Healing
Stratégie	Battle
Subterfuge	Thievery
Survie	Survival
Tir	Shooting
